Zip,NSJ_DIST,NSJ_TIME,SSJ_DIST,SSJ_TIME,SUN_DIST,SUN_TIME,FRE_DIST,FRE_TIME,Campus
94536,26880,1539,44800,2392,32166,1856,18953,1175,FRE
95138,26235,1390,12973,1108,35679,1726,37446,1653,SSJ
94947,123248,4899,141168,5751,128534,5216,115321,4535,FRE
94591,102308,4063,118895,4741,107595,4380,93074,3525,FRE
94123,81576,3777,95046,4484,70938,3424,72675,3532,SUN
94947,123248,4899,141168,5751,128534,5216,115321,4535,FRE
94080,62629,2577,76100,3284,51991,2225,62780,2552,SUN
94539,18018,1128,34812,1850,23304,1445,8992,634,FRE
95835,190530,6630,207116,7308,195817,6947,181296,6092,FRE
94587,32464,1510,50384,2362,37751,1826,24537,1145,FRE
95055,13682,929,27153,1636,6167,641,22442,1201,SUN
95132,4016,582,20361,1263,15001,1240,11316,566,FRE
94080,62629,2577,76100,3284,51991,2225,62780,2552,SUN
95131,1619,333,21023,1405,12464,967,10239,705,NSJ
95051,12903,859,26374,1566,4235,529,21663,1130,SUN
95134,11183,778,29102,1631,12652,932,9872,646,FRE
95134,11183,778,29102,1631,12652,932,9872,646,FRE
92584,675863,23425,663489,23222,685308,23760,687075,23687,SSJ
94538,16194,774,34114,1627,21480,1091,8267,410,FRE
94560,24369,1347,42288,2200,29655,1664,16442,983,FRE
94085,14713,822,28183,1529,3192,457,15974,990,SUN
95127,21731,2026,26347,2419,31175,2361,26266,2051,NSJ
95121,13304,805,7664,817,22748,1140,24515,1067,NSJ
94401,49415,2070,62885,2777,38777,1718,49565,2044,SUN
95138,26235,1390,12973,1108,35679,1726,37446,1653,SSJ
94947,123248,4899,141168,5751,128534,5216,115321,4535,FRE
95132,4016,582,20361,1263,15001,1240,11316,566,FRE
94063,38818,1831,52289,2538,28180,1479,38969,1805,SUN
95035,8269,653,24467,1391,13422,962,4343,481,FRE
94578,48192,1974,66112,2826,53479,2290,40266,1609,FRE
95035,8269,653,24467,1391,13422,962,4343,481,FRE
95124,21788,1017,12992,1059,24763,1361,30547,1288,NSJ
94539,18018,1128,34812,1850,23304,1445,8992,634,FRE
95051,12903,859,26374,1566,4235,529,21663,1130,SUN
94578,48192,1974,66112,2826,53479,2290,40266,1609,FRE
94061,38079,1864,53301,2513,27441,1512,38230,1838,SUN
94061,38079,1864,53301,2513,27441,1512,38230,1838,SUN
94568,49602,2214,66188,2892,54888,2530,40368,1675,FRE
94568,49602,2214,66188,2892,54888,2530,40368,1675,FRE
94303,26571,1221,40042,1928,15933,868,26722,1195,SUN
94061,38079,1864,53301,2513,27441,1512,38230,1838,SUN
94539,18018,1128,34812,1850,23304,1445,8992,634,FRE
95134,11183,778,29102,1631,12652,932,9872,646,FRE
95124,21788,1017,12992,1059,24763,1361,30547,1288,NSJ
94587,32464,1510,50384,2362,37751,1826,24537,1145,FRE
95006,56075,3652,54631,3912,59050,3997,64835,3924,NSJ
95035,8269,653,24467,1391,13422,962,4343,481,FRE
95125,16696,1044,9290,1006,20312,1151,27707,1274,SSJ
95035,8269,653,24467,1391,13422,962,4343,481,FRE
94552,52484,2180,70565,2913,57770,2497,44745,1697,FRE
94521,81376,3563,97962,4241,86663,3880,72142,3025,FRE
94123,81576,3777,95046,4484,70938,3424,72675,3532,SUN
95126,8498,684,14156,1240,16322,1011,17257,955,NSJ
94555,29247,1337,47167,2189,34533,1653,21320,972,FRE
95060,67455,3379,66011,3638,70430,3723,76215,3650,NSJ
95123,23170,1345,5944,725,27232,1387,34627,1511,SSJ
30263,,,,,,,,,NSJ
94025,31763,1790,45234,2498,21125,1438,31914,1765,SUN
94401,49415,2070,62885,2777,38777,1718,49565,2044,SUN
94555,29247,1337,47167,2189,34533,1653,21320,972,FRE
94555,29247,1337,47167,2189,34533,1653,21320,972,FRE
94555,29247,1337,47167,2189,34533,1653,21320,972,FRE
94043,20211,941,33682,1648,9573,589,20362,916,SUN
95758,173287,6666,189873,7344,178573,6983,164053,6128,FRE
94538,16194,774,34114,1627,21480,1091,8267,410,FRE
94578,48192,1974,66112,2826,53479,2290,40266,1609,FRE
94538,16194,774,34114,1627,21480,1091,8267,410,FRE
95008,17855,1070,19811,1420,15243,1433,26614,1341,NSJ
94555,29247,1337,47167,2189,34533,1653,21320,972,FRE
94587,32464,1510,50384,2362,37751,1826,24537,1145,FRE
95134,11183,778,29102,1631,12652,932,9872,646,FRE
94510,96289,3517,112875,4194,101576,3833,87055,2978,FRE
94065,42606,1865,56077,2572,31968,1513,42757,1840,SUN
95138,26235,1390,12973,1108,35679,1726,37446,1653,SSJ
95138,26235,1390,12973,1108,35679,1726,37446,1653,SSJ
95138,26235,1390,12973,1108,35679,1726,37446,1653,SSJ
95136,17851,1202,4136,582,23030,1285,30425,1409,SSJ
94538,16194,774,34114,1627,21480,1091,8267,410,FRE
94536,26880,1539,44800,2392,32166,1856,18953,1175,FRE
95134,11183,778,29102,1631,12652,932,9872,646,FRE
94102,77605,3193,91075,3900,66967,2841,72205,3020,SUN
94102,77605,3193,91075,3900,66967,2841,72205,3020,SUN
94568,49602,2214,66188,2892,54888,2530,40368,1675,FRE
94568,49602,2214,66188,2892,54888,2530,40368,1675,FRE
94536,26880,1539,44800,2392,32166,1856,18953,1175,FRE
95118,19581,1160,7618,801,23197,1266,30592,1390,SSJ
95118,19581,1160,7618,801,23197,1266,30592,1390,SSJ
95136,17851,1202,4136,582,23030,1285,30425,1409,SSJ
95051,12903,859,26374,1566,4235,529,21663,1130,SUN
94124,71770,2982,85241,3689,61132,2630,71921,2957,SUN
95051,12903,859,26374,1566,4235,529,21663,1130,SUN
95136,17851,1202,4136,582,23030,1285,30425,1409,SSJ
95051,12903,859,26374,1566,4235,529,21663,1130,SUN
95110,5086,649,20743,1366,12320,849,16208,917,NSJ
94124,71770,2982,85241,3689,61132,2630,71921,2957,SUN
95051,12903,859,26374,1566,4235,529,21663,1130,SUN
94513,84243,3904,100829,4581,89529,4220,75009,3365,FRE
95136,17851,1202,4136,582,23030,1285,30425,1409,SSJ
7003,,,,,,,,,NSJ
95032,23182,1391,17871,1475,26157,1735,31942,1662,NSJ
95121,13304,805,7664,817,22748,1140,24515,1067,NSJ
95126,8498,684,14156,1240,16322,1011,17257,955,NSJ
95117,14019,853,20405,1397,10814,1028,22778,1125,NSJ
95834,184294,6397,200880,7075,189581,6713,175060,5858,FRE
95117,14019,853,20405,1397,10814,1028,22778,1125,NSJ
95136,17851,1202,4136,582,23030,1285,30425,1409,SSJ
95051,12903,859,26374,1566,4235,529,21663,1130,SUN
95123,23170,1345,5944,725,27232,1387,34627,1511,SSJ
95128,16026,846,22412,1390,12044,854,24785,1118,NSJ
94542,43055,2169,60974,3022,48341,2486,35128,1805,FRE
94132,74651,3046,88121,3753,64013,2694,74801,3021,SUN
94538,16194,774,34114,1627,21480,1091,8267,410,FRE
95050,9983,877,24016,1559,6853,753,18743,1149,SUN
95123,23170,1345,5944,725,27232,1387,34627,1511,SSJ
95035,8269,653,24467,1391,13422,962,4343,481,FRE
77494,,,,,,,,,NSJ
95116,6599,624,13965,1119,16043,959,17170,926,NSJ
94089,16333,912,29804,1619,5695,560,15084,815,SUN
95126,8498,684,14156,1240,16322,1011,17257,955,NSJ
95030,22223,1152,20779,1411,25198,1496,30983,1423,NSJ
95122,8924,708,12701,1080,18369,1044,19599,1048,NSJ
95122,8924,708,12701,1080,18369,1044,19599,1048,NSJ
95122,8924,708,12701,1080,18369,1044,19599,1048,NSJ
95133,6541,655,16946,1179,17603,1088,14462,720,NSJ
95111,15362,942,3885,543,24807,1278,26574,1205,SSJ
95128,16026,846,22412,1390,12044,854,24785,1118,NSJ
